id,date,type,symbol,quantity,price,currency,fx_rate_to_cad,fees_cad,cash_amount_cad,note,split_adjusted
GC-0001,2015-01-15,deposit,CASH,0,0,CAD,1.0,0.0,20000.0,Apport annuel de Gear Code,True
GC-0002,2015-02-02,buy,AAPL,100.0,28.0,USD,1.25,9.95,0,Position initiale : écosystème Apple et croissance mobile,True
GC-0003,2015-02-10,buy,MSFT,70.0,45.0,USD,1.25,9.95,0,Virage cloud Azure jugé prometteur,True
GC-0004,2015-03-05,buy,GOOGL,100.0,27.0,USD,1.25,9.95,0,Publicité numérique et moteur de recherche,True
GC-0005,2015-04-01,buy,AMZN,120.0,19.0,USD,1.25,9.95,0,AWS et commerce électronique,True
GC-0006,2015-05-15,buy,NVDA,200.0,5.5,USD,1.25,9.95,0,"Pari GPU, jeux et calcul accéléré",True
GC-0007,2015-07-10,buy,META,30.0,78.0,USD,1.25,9.95,0,Croissance des réseaux sociaux,True
GC-0008,2015-09-01,buy,TSLA,60.0,15.0,USD,1.25,9.95,0,Petite position spéculative en mobilité électrique,True
GC-0009,2015-12-15,dividend,MSFT,0,0,CAD,1.0,0.0,70.0,"Dividendes annuels agrégés, montant synthétique",True
GC-0010,2015-12-18,dividend,AAPL,0,0,CAD,1.0,0.0,45.0,"Dividendes annuels agrégés, montant synthétique",True
GC-0011,2016-01-15,deposit,CASH,0,0,CAD,1.0,0.0,10000.0,Apport annuel de Gear Code,True
GC-0012,2016-02-12,sell,TSLA,30.0,14.0,USD,1.38,9.95,0,Réduction après volatilité; décision prudente mais prématurée,True
GC-0013,2016-03-18,buy,MSFT,50.0,52.0,USD,1.32,9.95,0,Renforcement du cloud,True
GC-0014,2016-05-20,buy,NFLX,40.0,95.0,USD,1.31,9.95,0,Croissance mondiale du streaming,True
GC-0015,2016-08-12,buy,AMD,100.0,5.5,USD,1.3,9.95,0,Pari de redressement face à Intel et NVIDIA,True
GC-0016,2016-11-18,buy,META,10.0,120.0,USD,1.34,9.95,0,Renforcement après monétisation mobile,True
GC-0017,2016-12-15,dividend,MSFT,0,0,CAD,1.0,0.0,130.0,Dividendes annuels agrégés,True
GC-0018,2016-12-19,dividend,AAPL,0,0,CAD,1.0,0.0,55.0,Dividendes annuels agrégés,True
GC-0019,2017-01-16,deposit,CASH,0,0,CAD,1.0,0.0,10000.0,Apport annuel de Gear Code,True
GC-0020,2017-01-20,sell,NFLX,20.0,160.0,USD,1.31,9.95,0,Prise de profit partielle après forte hausse,True
