id,date,year,type,symbol,quantity,price_usd,fx_rate_to_cad,fee_cad,cash_amount_cad,gross_amount_cad,net_cash_flow_cad,running_cash_cad,position_after,realized_pnl_cad,note,source_note,split_adjusted
GC-0001,2015-01-15,2015,DEPOSIT,CASH,,,1.0,0.0,20000.0,20000.0,20000.0,20000.0,,,Apport annuel de Gear Code,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0002,2015-02-02,2015,BUY,AAPL,100.0,28.0,1.25,9.95,,3500.0,-3509.95,16490.05,100.0,,Position initiale : écosystème Apple et croissance mobile,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0003,2015-02-10,2015,BUY,MSFT,70.0,45.0,1.25,9.95,,3937.5,-3947.45,12542.599999999999,70.0,,Virage cloud Azure jugé prometteur,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0004,2015-03-05,2015,BUY,GOOGL,100.0,27.0,1.25,9.95,,3375.0,-3384.95,9157.649999999998,100.0,,Publicité numérique et moteur de recherche,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0005,2015-04-01,2015,BUY,AMZN,120.0,19.0,1.25,9.95,,2850.0,-2859.95,6297.699999999998,120.0,,AWS et commerce électronique,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0006,2015-05-15,2015,BUY,NVDA,200.0,5.5,1.25,9.95,,1375.0,-1384.95,4912.749999999998,200.0,,"Pari GPU, jeux et calcul accéléré",Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0007,2015-07-10,2015,BUY,META,30.0,78.0,1.25,9.95,,2925.0,-2934.95,1977.7999999999984,30.0,,Croissance des réseaux sociaux,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0008,2015-09-01,2015,BUY,TSLA,60.0,15.0,1.25,9.95,,1125.0,-1134.95,842.8499999999983,60.0,,Petite position spéculative en mobilité électrique,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0009,2015-12-15,2015,DIVIDEND,MSFT,,,1.0,0.0,70.0,70.0,70.0,912.8499999999983,70.0,,"Dividendes annuels agrégés, montant synthétique",Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0010,2015-12-18,2015,DIVIDEND,AAPL,,,1.0,0.0,45.0,45.0,45.0,957.8499999999983,100.0,,"Dividendes annuels agrégés, montant synthétique",Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
